period,DG,RG,EPD-FF,Std-LNS,RA-LNS
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,369.5596486273034,51.4573230838273
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,13.403280676525355,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,275.9522803648006,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,41.62686276332124,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,102.93262789416622,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,29.015090778468675,0.0
18,336.6558150335022,136.87153923972664,0.0,34.45066073245698,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,4.132173897347457,0.0,15.83017351464423,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,177.91026809848927,0.0
28,0.0,0.0,0.0,28.98032335155904,38.82949240306152
29,0.0,0.0,17.956926643896168,0.0,0.0
30,0.0,0.0,237.7853346071865,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,141.1582526612592,0.0,0.0,0.0,116.9240302724
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,162.17520441554962,243.97307711385884,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,23.53163699736524,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,24.899627661877275,0.0
47,0.0,0.0,0.0,0.0,0.0
48,212.5108794066623,0.0,0.0,206.7308199438644,0.0
49,0.0,223.20818198874625,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,146.78724404760442,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,217.8933893718904,0.0,0.0
63,63.60178377602642,0.0,0.0,288.5532723831316,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,459.415364015525,96.63844230332734,0.0,0.0
67,29.60149082564476,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,125.35813959399955,0.0
69,0.0,0.0,0.0,0.0,88.45440
70,0.0,27.6703862660288,0.0,0.0,0.0
71,0.0,0.0,0.0,334.77340025720696,0.0
72,149.4412773125705,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,106.1320824993063,0.0,55.395272128441775,0.0
75,0.0,55.408475219229786,32.44777014582314,0.0,0.0896728845445977
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,89.52825679504895,0.0,0.0
81,0.0,23.23493469853065,0.0,0.0,0.0
82,0.0,47.14057770426689,153.44716306463988,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,12.55345000434636
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,206.5281757776916,38.67540112304414,0.0,0.0,0.0
88,0.0,0.0,0.0,183.63817913606223,0.0
89,299.64981440945485,0.0,0.0,80.97213560449791,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,333.88748958473434,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
